signal,rebal,scheme,minvol,timing,win,sharpe,ann,vol,maxdd,turnover,sh_h1,sh_h2,n,market
funding,W,rank,20000000.0,none,7.0,1.40141855272688,0.3492283656950955,0.2491963339685827,-0.2543771443840275,79.14096617285072,1.1977941091746283,1.6443661791472166,2021,
funding,W,rank,5000000.0,none,7.0,1.2333521902708908,0.2834925311514405,0.22985529469013616,-0.32120880740249114,76.78950267867968,0.8638180817234118,1.672089826264072,2021,
beta+idvol,M,q20,20000000.0,fund63,0.75,1.1484148413837398,0.34807430915295673,0.30309109270440765,-0.35966313791986015,13.399378803625257,0.9860257539226751,1.2933346000334804,1704,
beta+funding,W,rank,5000000.0,none,0.75,1.1369985663099917,0.2895662926637403,0.25467604027285357,-0.34503497558839,39.77941615213181,0.8802127557686086,1.4659157035204384,2021,
beta+idvol,M,q20,20000000.0,fund90,0.75,1.1367115628784665,0.32976959776147013,0.29010842198737097,-0.3550665170506216,12.405542010075916,1.0034997298170645,1.2558864044408522,1673,
beta+idvol,M,q20,50000000.0,none,0.25,1.1210675908148784,0.5151591038371823,0.459525463101404,-0.6551548039891273,20.333289122616556,0.8855588124118093,1.3672794219959954,2007,
funding,W,rank,20000000.0,fund90,7.0,1.118780266447711,0.2075355117702398,0.18550158417541185,-0.2871742646269032,53.81151606604391,0.16423026794384535,1.8172351975170316,1673,
beta+idvol,M,q20,50000000.0,fund90,0.25,1.0910801545322848,0.41200569419576893,0.3776126735366973,-0.48732323429698954,13.275175856420285,0.8367098562877299,1.3186608726638904,1673,
beta+idvol,M,q20,50000000.0,fund63,0.25,1.084948568551751,0.4258476087845072,0.392504880994453,-0.6168342625238741,14.45025269132107,0.8315474084570712,1.3070615805022157,1704,
beta+idvol,M,q20,50000000.0,none,0.5,1.0800645452005153,0.4853502373187902,0.4493715116152473,-0.6313781807998953,20.4813075291456,0.9936385600510135,1.1884928928176612,2007,
funding,W,q20,5000000.0,none,7.0,1.0756179890015352,0.33207380228928907,0.30872838283184856,-0.37205151609313813,96.83796459965616,0.7332421388106981,1.4529828424338516,2021,
funding,W,rank,50000000.0,none,7.0,1.055405931383007,0.3213089082079436,0.3044410673217455,-0.4317300211007651,80.61616945232302,1.1424524307917736,0.9603775092441257,2021,
funding,W,rank,5000000.0,none,21.0,1.0470833968356925,0.2534206042318909,0.24202523409093596,-0.37894587042577066,41.847801703660906,0.8441671952024005,1.2864107961838864,2021,
beta+funding,M,q20,20000000.0,fund90,0.25,1.0456718973318149,0.30639694399575074,0.2930144195110985,-0.3242388144663799,14.310631399919403,0.2814306572893522,1.7166864358848228,1673,
beta+funding,W,rank,20000000.0,none,0.75,1.0385491011484576,0.3093057539622015,0.2978248728155099,-0.33424228229062214,44.40398303851366,1.085697087002865,0.9891789070499735,2021,
beta+funding,M,q20,20000000.0,fund63,0.25,1.0232810923668119,0.30893214127501245,0.3019034980510229,-0.36014445855271165,15.500314810922426,0.3946665558589334,1.55765622460143,1704,
beta+idvol,M,q20,50000000.0,none,0.75,1.0224337068810327,0.4763677137973376,0.4659155019942689,-0.6547685030538548,20.571055044756342,1.0485183851138116,1.0041294586076102,2007,
funding,W,rank,20000000.0,fund63,7.0,1.0205112970672137,0.19512834862110584,0.19120645619688242,-0.3248848131857781,56.900938597938215,-0.11133831575160853,1.8596390727167933,1704,
funding,W,rank,20000000.0,disp63,7.0,1.0068088940112656,0.3291432959197985,0.32691735033095126,-0.398646973615603,97.002280996021,0.19523789310820577,1.8131955540357192,1734,
beta+idvol,M,q20,50000000.0,fund90,0.5,1.0032168108151258,0.3482989635271704,0.347182144250726,-0.4661920842488809,12.95791374989435,1.1045482515126166,0.9105702269869832,1673,
beta+idvol,M,q20,20000000.0,fund63,0.5,0.9984984534502166,0.30312409056001366,0.30357992995642313,-0.2596123598963511,13.086249667079041,0.9492498991107379,1.0449013225321662,1704,
beta_horizon,M,q20,20000000.0,fund63,1095.0,0.9970588181912661,0.2890583880073225,0.2899110691701162,-0.42854328272155706,12.419583290600585,0.19605290888282292,1.6615360748397758,1704,
beta+idvol,M,q20,20000000.0,fund90,0.5,0.9941426319897594,0.28918730165290285,0.29089115821750783,-0.2543833627309196,11.998034021294684,0.8702144961597565,1.109427241433563,1673,
beta+idvol,W,q20,20000000.0,fund63,0.75,0.9934850773101678,0.3260844914700507,0.32822283788390155,-0.3954794941608718,21.19579015080873,1.031127412687546,0.9880677920912879,1704,
beta+idvol,M,q20,50000000.0,fund63,0.5,0.9892464290864934,0.36011280036475246,0.3640273947688584,-0.5814845922828256,14.057518485375589,1.1016183856795583,0.8898247453965173,1704,
