signal,market,corr_win,vol_win,agg,shrink,rebal,scheme,minvol,timing,sharpe,ann,vol,maxdd,turnover,sh_h1,sh_h2,n
beta,sqrt_advw,730,180,3.0,0.6,M,q20,20000000.0,none,1.517536250910607,0.5933402237227545,0.3909891598086813,-0.44099011877234984,18.970314417871535,1.5009310854546476,1.536631987807166,2007
beta,sqrt_advw,730,180,3.0,0.8,M,q20,20000000.0,none,1.4901869688290743,0.6205234729792698,0.4164064550013149,-0.4785279253073179,19.240663908585255,1.5036631538313483,1.4793775096333184,2007
beta,sqrt_advw,730,180,3.0,0.4,M,q20,20000000.0,none,1.4521868386137298,0.571053755195571,0.3932371097239139,-0.4219305540442859,18.90267119676379,1.418073921711697,1.4859196698785269,2007
beta,eqw,730,180,3.0,0.6,M,q20,50000000.0,none,1.4146285357654018,0.7200070011640974,0.508972484974318,-0.5862903386198508,21.40147698437204,1.394001970638509,1.4627834164771483,2007
beta,eqw,730,180,3.0,0.8,M,q20,50000000.0,none,1.3987074824972758,0.7527821699645035,0.5381984291815423,-0.5991896319380796,21.880627378217447,1.3904597903638194,1.44173609132729,2007
beta,sqrt_advw,730,180,3.0,1.0,M,q20,20000000.0,none,1.3879434082009443,0.6537565363867457,0.4710253548695811,-0.5810454385471264,19.748692531896605,1.4489545514889068,1.3237469326952591,2007
beta,eqw,730,180,3.0,0.4,M,q20,50000000.0,none,1.358684610323922,0.6928846381682849,0.5099672380944207,-0.591161351611645,21.192898754274946,1.3423921385913424,1.3878246712085847,2007
beta,eqw_top25,730,180,3.0,0.8,M,q20,20000000.0,none,1.3465719380261374,0.6060825765727628,0.45009298015016147,-0.5467777068543191,20.877471555147473,1.1033021881490783,1.6150770882499064,2007
beta,eqw,730,180,3.0,0.6,W,q20,50000000.0,none,1.3450447630875504,0.6344422074757414,0.4716885451599241,-0.45194188496841736,33.35078556600474,0.9148458143950976,1.871921183289336,2021
beta,eqw,730,180,3.0,0.6,M,q20,20000000.0,none,1.3321823014848317,0.5470399537596177,0.41063445532183884,-0.5686093682795887,18.9337360924227,1.4075345003902515,1.2518022170040048,2007
