strategy,Sharpe,ann,vol,maxDD,mktbeta,alpha,t_alpha,turn,h1,h2
"BAB (beta, 5yr) betaneutral",1.8391703574695346,0.8765464764977166,0.47659884955069276,-0.28182282008108805,0.034871985932995064,0.8702618669169686,3.6105756909436444,17.499818303340316,1.7229421125638185,2.0723849376167163
"BAB (beta, 5yr) dollar",1.5982265615867008,0.8044525520280383,0.5033407474027882,-0.3714260438485859,-0.25318317139147756,0.8232768543732495,3.613146847685186,12.665604469964125,1.4023452566350036,1.9163533618874984
totvol90 betaneutral,1.5820237867777809,0.7854999489076081,0.4965158902619859,-0.3839649185384546,-0.027973223821297747,0.7853735321959908,3.143020595536605,19.154816805411247,1.5977264177359134,1.6103192679472378
totvol180 betaneutral,1.3720909283831475,0.6635204243208477,0.48358342045357783,-0.44031698725745383,-0.013464432135545913,0.6617596043105959,2.666225942553208,15.973039954463024,1.3782577207497628,1.4220470043245284
totvol90 dollar,1.2945504997595754,0.6653884845272946,0.5139919104359937,-0.44534721157313095,-0.24727137806269323,0.6837912066089725,2.9337046570433807,14.65745916927363,1.3276793513552856,1.2906385481549003
idvol90 betaneutral,1.1897813732523506,0.5840668025821283,0.4909026277538207,-0.48722611973627594,0.030297172762954832,0.578812750804907,2.270608179569917,20.13147528860212,1.2578499841488047,1.129822899700438
totvol60 betaneutral,1.1538699137263841,0.5799364259960037,0.5026012196843909,-0.48580359232941894,-0.04961141988536972,0.5821090362087373,2.318617940886297,22.920051494246927,1.2800660233713546,1.022584423543892
totvol180 dollar,1.1007810853361475,0.5620673564911493,0.5106077529661673,-0.5139149867135135,-0.25024962622399605,0.5808117993632881,2.443375136117207,11.815458734160844,1.12305146982059,1.1121145771444392
idvol180 betaneutral,0.9964584192249338,0.4326239487782442,0.4341615670373362,-0.516799155281693,0.026821851464763204,0.42779652950425884,2.1929459618189613,17.11761299436891,0.7117867740351066,1.3141626880254593
totvol365 betaneutral,0.9880431584602869,0.49882297541959914,0.5048595004664956,-0.48006854628230744,-0.055002368988112005,0.5004808869384253,1.9892741599363297,14.566264679731844,0.8317485370712813,1.2739625143148352
totvol60 dollar,0.9418482439284892,0.49104382908213545,0.5213619415310163,-0.5079358682872648,-0.2437936635935466,0.5089457748902789,2.1737956196404515,17.987695848889373,1.092840071148346,0.7616647100553497
idvol90 dollar,0.9094724644900718,0.45054087301087553,0.4953870409517976,-0.5715551975682267,-0.17253550175275778,0.4624103340055604,1.9016050228474088,15.085876906344796,0.9123697386883759,0.9428067186349064
idvol60 betaneutral,0.8945086739373886,0.44304519032248113,0.49529445966388935,-0.5001690972432005,0.017243511042101103,0.43937936037423986,1.783539081958948,24.032798181396835,0.9417948270926634,0.8563761810632375
totvol365 dollar,0.7851613660855673,0.41194472269968324,0.5246624967724014,-0.5363050890570195,-0.24396216552540104,0.4301628627205971,1.8280603743427342,10.030718422953514,0.5931759901622768,1.1077972084981362
idvol180 dollar,0.7702584919381278,0.351536168668451,0.4563872678429213,-0.5955529921806928,-0.17202123780832917,0.3640108521066483,1.8179558341924589,12.393196719248326,0.5029201864898182,1.1337139399039387
totvol30 betaneutral,0.7024155325307272,0.3501970901776713,0.4985611421717129,-0.5892441787165705,-0.08994747769256181,0.35537249047819436,1.3544571225818838,27.85701577311319,0.7262855884006637,0.6951583553806271
idvol60 dollar,0.6667365644101187,0.33491453846641334,0.502319141237922,-0.5421758828234653,-0.16558393507848923,0.3461330317214749,1.4933365530023406,19.176995344618522,0.7187298660789444,0.6186745715774525
idvol365 betaneutral,0.5341992498087325,0.23538059077349102,0.44062321476072447,-0.5856361408903412,-0.018306830348961182,0.23241327372767334,1.1780051807533183,15.758101102598886,-0.024252208677915166,1.180111902688206
totvol30 dollar,0.5217763761161228,0.2701727539467516,0.5177941476726112,-0.6290081870614419,-0.2664445037391494,0.2900422171373659,1.1971168166824944,23.22119283990974,0.5465843100903245,0.5035030460946455
idvol30 betaneutral,0.3998482752834006,0.17693864480889476,0.44251446297595226,-0.5736627211896346,-0.03203802807985735,0.17755886346065405,0.9541616962446406,31.009818486808076,0.08697202943105936,0.7840039397963134
idvol365 dollar,0.34287042404203216,0.15895656216882634,0.4636053477430879,-0.6666574378807908,-0.17391464087808114,0.16983704509749614,0.8569668367623705,10.548915102112382,-0.1299881940095951,0.9565641463302044
idvol30 dollar,0.24608346026640887,0.11550368294108093,0.4693679242645448,-0.6430822602473423,-0.17737887006964947,0.1281781970846212,0.6915171526992936,25.514463685825955,0.04520981712700256,0.5245367144003299
